"Time","CPU Utilization"
2025-03-27 08:05:00,0.0515
2025-03-27 08:10:00,0.0520
2025-03-27 08:15:00,0.0203
2025-03-27 08:20:00,0.0215
2025-03-27 08:25:00,0.0199
2025-03-27 08:30:00,0.0495
2025-03-27 08:35:00,0.0529
2025-03-27 08:40:00,0.0346
2025-03-27 08:45:00,0.0214
2025-03-27 08:50:00,0.0212
2025-03-27 08:55:00,0.0339
2025-03-27 09:00:00,0.0539
2025-03-27 09:05:00,0.0455
2025-03-27 09:10:00,0.0379
2025-03-27 09:15:00,0.0238
2025-03-27 09:20:00,0.0251
2025-03-27 09:25:00,0.0511
2025-03-27 09:30:00,0.0633
2025-03-27 09:35:00,0.0345
2025-03-27 09:40:00,0.0359
2025-03-27 09:45:00,0.0733
2025-03-27 09:50:00,0.0503
2025-03-27 09:55:00,0.0525
2025-03-27 10:00:00,0.0357
2025-03-27 10:05:00,0.0236
2025-03-27 10:10:00,0.0205
2025-03-27 10:15:00,0.0375
2025-03-27 10:20:00,0.0538
2025-03-27 10:25:00,0.0447
2025-03-27 10:30:00,0.0219
2025-03-27 10:35:00,0.0225
2025-03-27 10:40:00,0.0291
2025-03-27 10:45:00,0.0542
2025-03-27 10:50:00,0.0572
2025-03-27 10:55:00,0.0446
2025-03-27 11:00:00,0.0240
2025-03-27 11:05:00,0.0510
2025-03-27 11:10:00,0.0547
2025-03-27 11:15:00,0.0606
2025-03-27 11:20:00,0.0438
2025-03-27 11:25:00,0.0262
2025-03-27 11:30:00,0.0313
2025-03-27 11:35:00,0.154
2025-03-27 11:40:00,0.0780
2025-03-27 11:45:00,0.159
2025-03-27 11:50:00,0.126
2025-03-27 11:55:00,0.123
2025-03-27 12:00:00,0.128
2025-03-27 12:05:00,0.154
2025-03-27 12:10:00,0.159
2025-03-27 12:15:00,0.136
2025-03-27 12:20:00,0.127
2025-03-27 12:25:00,0.127
2025-03-27 12:30:00,0.186
2025-03-27 12:35:00,0.159
2025-03-27 12:40:00,0.159
2025-03-27 12:45:00,0.130
2025-03-27 12:50:00,0.131
2025-03-27 12:55:00,0.124
2025-03-27 13:00:00,0.147
2025-03-27 13:05:00,0.157
2025-03-27 13:10:00,0.147
2025-03-27 13:15:00,0.128
2025-03-27 13:20:00,0.126
2025-03-27 13:25:00,0.128
2025-03-27 13:30:00,0.158
2025-03-27 13:35:00,0.159
2025-03-27 13:40:00,0.135
2025-03-27 13:45:00,0.125
2025-03-27 13:50:00,0.126
2025-03-27 13:55:00,0.137
2025-03-27 14:00:00,0.157
2025-03-27 14:05:00,0.224
2025-03-27 14:10:00,0.127
2025-03-27 14:15:00,0.132
2025-03-27 14:20:00,0.128
2025-03-27 14:25:00,0.142
2025-03-27 14:30:00,0.158
2025-03-27 14:35:00,0.176
2025-03-27 14:40:00,0.162
2025-03-27 14:45:00,0.130
2025-03-27 14:50:00,0.130
