"Time","Load[5m]","Load[1m]","Load[15m]"
2025-03-27 08:05:00,0.680,0.940,0.660
2025-03-27 08:10:00,0.550,0.460,0.610
2025-03-27 08:15:00,0.430,0.300,0.540
2025-03-27 08:20:00,0.390,0.390,0.490
2025-03-27 08:25:00,0.570,0.860,0.520
2025-03-27 08:30:00,0.600,0.900,0.520
2025-03-27 08:35:00,0.610,0.570,0.550
2025-03-27 08:40:00,0.780,0.980,0.630
2025-03-27 08:45:00,1.24,1.74,0.860
2025-03-27 08:50:00,0.890,0.660,0.810
2025-03-27 08:55:00,0.680,0.510,0.750
2025-03-27 09:00:00,0.480,0.380,0.640
2025-03-27 09:05:00,0.450,0.350,0.590
2025-03-27 09:10:00,0.660,1.20,0.610
2025-03-27 09:15:00,0.690,0.870,0.620
2025-03-27 09:20:00,0.570,0.340,0.590
2025-03-27 09:25:00,0.620,0.760,0.590
2025-03-27 09:30:00,1.21,1.16,0.880
2025-03-27 09:35:00,0.700,0.430,0.740
2025-03-27 09:40:00,0.620,0.580,0.700
2025-03-27 09:45:00,0.690,1.04,0.680
2025-03-27 09:50:00,0.570,0.440,0.640
2025-03-27 09:55:00,0.460,0.440,0.570
2025-03-27 10:00:00,0.350,0.280,0.490
2025-03-27 10:05:00,0.480,0.370,0.510
2025-03-27 10:10:00,0.360,0.260,0.440
2025-03-27 10:15:00,0.360,0.360,0.420
2025-03-27 10:20:00,0.510,0.600,0.470
2025-03-27 10:25:00,0.470,0.490,0.450
2025-03-27 10:30:00,0.400,0.380,0.430
2025-03-27 10:35:00,0.370,0.340,0.400
2025-03-27 10:40:00,0.330,0.190,0.380
2025-03-27 10:45:00,0.370,0.350,0.380
2025-03-27 10:50:00,0.450,0.730,0.390
2025-03-27 10:55:00,0.660,1.02,0.480
2025-03-27 11:00:00,0.510,0.320,0.460
2025-03-27 11:05:00,0.440,0.540,0.440
2025-03-27 11:10:00,0.810,0.970,0.590
2025-03-27 11:15:00,0.970,1.84,0.690
2025-03-27 11:20:00,0.580,0.530,0.580
2025-03-27 11:25:00,0.400,0.280,0.500
2025-03-27 11:30:00,0.450,0.510,0.490
2025-03-27 11:35:00,1.41,2.71,0.850
2025-03-27 11:40:00,0.940,0.830,0.800
2025-03-27 11:45:00,1.91,2.77,1.22
2025-03-27 11:50:00,2.01,1.93,1.47
2025-03-27 11:55:00,1.93,1.58,1.61
2025-03-27 12:00:00,2.04,2.02,1.75
2025-03-27 12:05:00,2.23,2.12,1.94
2025-03-27 12:10:00,2.05,1.87,1.96
2025-03-27 12:15:00,2.25,2.39,2.07
2025-03-27 12:20:00,2.52,2.72,2.22
2025-03-27 12:25:00,2.22,1.85,2.19
2025-03-27 12:30:00,2.12,2.38,2.13
2025-03-27 12:35:00,2.58,2.70,2.35
2025-03-27 12:40:00,2.35,2.18,2.30
2025-03-27 12:45:00,2.44,3.03,2.33
2025-03-27 12:50:00,1.83,1.40,2.08
2025-03-27 12:55:00,2.28,2.14,2.22
2025-03-27 13:00:00,2.02,1.91,2.12
2025-03-27 13:05:00,2.16,2.11,2.16
2025-03-27 13:10:00,2.37,1.82,2.29
2025-03-27 13:15:00,2.66,2.53,2.46
2025-03-27 13:20:00,2.72,2.74,2.55
2025-03-27 13:25:00,2.61,2.41,2.56
2025-03-27 13:30:00,2.29,1.83,2.44
2025-03-27 13:35:00,2.28,2.22,2.39
2025-03-27 13:40:00,2.24,2.11,2.35
2025-03-27 13:45:00,2.33,2.05,2.37
2025-03-27 13:50:00,2.79,3.18,2.54
2025-03-27 13:55:00,2.78,2.67,2.62
2025-03-27 14:00:00,2.56,2.59,2.55
2025-03-27 14:05:00,2.98,3.34,2.73
2025-03-27 14:10:00,2.92,2.91,2.79
2025-03-27 14:15:00,2.68,2.40,2.73
2025-03-27 14:20:00,2.23,2.04,2.52
2025-03-27 14:25:00,2.12,2.02,2.39
2025-03-27 14:30:00,2.14,2.30,2.32
2025-03-27 14:35:00,3.32,4.42,2.76
2025-03-27 14:40:00,3.12,2.59,2.87
2025-03-27 14:45:00,2.90,2.54,2.85
2025-03-27 14:50:00,2.40,1.97,2.64
2025-03-27 14:55:00,2.11,1.95,2.45
2025-03-27 15:00:00,3.08,4.49,2.72
2025-03-27 15:05:00,2.58,2.25,2.61
2025-03-27 15:10:00,2.42,1.83,2.54
2025-03-27 15:15:00,2.19,1.93,2.41
2025-03-27 15:20:00,2.14,2.15,2.33
2025-03-27 15:25:00,2.28,2.32,2.34
2025-03-27 15:30:00,2.43,2.21,2.41
2025-03-27 15:35:00,2.33,2.39,2.36
2025-03-27 15:40:00,2.73,2.79,2.54
2025-03-27 15:45:00,2.60,2.30,2.55
