"Time","Transmit Total (Network I/O)","Receive Total (Network I/O)"
2025-03-27 08:05:00,62662,10019
2025-03-27 08:10:00,78155,14556
2025-03-27 08:15:00,63805,10877
2025-03-27 08:20:00,66751,11550
2025-03-27 08:25:00,63865,10766
2025-03-27 08:30:00,66582,11093
2025-03-27 08:35:00,64063,10671
2025-03-27 08:40:00,80530,14623
2025-03-27 08:45:00,63819,10802
2025-03-27 08:50:00,66828,11161
2025-03-27 08:55:00,63958,10564
2025-03-27 09:00:00,66946,11259
2025-03-27 09:05:00,63859,11168
2025-03-27 09:10:00,78414,14473
2025-03-27 09:15:00,63817,10875
2025-03-27 09:20:00,66949,11598
2025-03-27 09:25:00,63549,11015
2025-03-27 09:30:00,70146,11763
2025-03-27 09:35:00,64095,10863
2025-03-27 09:40:00,68547,11251
2025-03-27 09:45:00,65033,12667
2025-03-27 09:50:00,77677,12476
2025-03-27 09:55:00,64461,10728
2025-03-27 10:00:00,66187,11390
2025-03-27 10:05:00,64336,10688
2025-03-27 10:10:00,66639,11159
2025-03-27 10:15:00,63633,10899
2025-03-27 10:20:00,79038,14849
2025-03-27 10:25:00,63897,10692
2025-03-27 10:30:00,66332,11378
2025-03-27 10:35:00,64021,10667
2025-03-27 10:40:00,69675,11766
2025-03-27 10:45:00,64416,10695
2025-03-27 10:50:00,102455,47810
2025-03-27 10:55:00,158202,101398
2025-03-27 11:00:00,84951,17899
2025-03-27 11:05:00,105992,49384
2025-03-27 11:10:00,214873,178153
2025-03-27 11:15:00,124070,105197
2025-03-27 11:20:00,126900,105624
2025-03-27 11:25:00,209006,179882
2025-03-27 11:30:00,191456,136009
2025-03-27 11:35:00,2271532,2229523
2025-03-27 11:40:00,227695,192498
2025-03-27 11:45:00,211800,351365
2025-03-27 11:50:00,76050,20081
2025-03-27 11:55:00,68287,12667
2025-03-27 12:00:00,84837,16151
2025-03-27 12:05:00,68240,12009
2025-03-27 12:10:00,70744,12706
2025-03-27 12:15:00,68455,11781
2025-03-27 12:20:00,70555,12581
2025-03-27 12:25:00,67914,12250
2025-03-27 12:30:00,83853,16427
2025-03-27 12:35:00,68519,12185
2025-03-27 12:40:00,177089,130814
2025-03-27 12:45:00,83214,32464
2025-03-27 12:50:00,85850,32454
2025-03-27 12:55:00,82556,32716
2025-03-27 13:00:00,86599,33105
2025-03-27 13:05:00,94706,35812
2025-03-27 13:10:00,83862,31145
2025-03-27 13:15:00,69597,13065
2025-03-27 13:20:00,72229,15692
2025-03-27 13:25:00,68920,13798
2025-03-27 13:30:00,73146,13778
2025-03-27 13:35:00,81540,16682
2025-03-27 13:40:00,73270,13857
2025-03-27 13:45:00,69580,13129
2025-03-27 13:50:00,72386,13870
2025-03-27 13:55:00,68755,14037
2025-03-27 14:00:00,73496,13769
2025-03-27 14:05:00,86066,22890
2025-03-27 14:10:00,85107,33026
2025-03-27 14:15:00,82406,32537
2025-03-27 14:20:00,85680,33273
2025-03-27 14:25:00,209734,168884
2025-03-27 14:30:00,81820,29581
2025-03-27 14:35:00,479853,432956
2025-03-27 14:40:00,456078,435823
2025-03-27 14:45:00,434763,407987
2025-03-27 14:50:00,130214,108107
2025-03-27 14:55:00,127010,107530
2025-03-27 15:00:00,128531,106159
2025-03-27 15:05:00,129249,108722
2025-03-27 15:10:00,129555,107787
2025-03-27 15:15:00,91731,49279
2025-03-27 15:20:00,84171,17721
2025-03-27 15:25:00,69500,13597
2025-03-27 15:30:00,72297,13029
2025-03-27 15:35:00,72913,15038
2025-03-27 15:40:00,74804,13715
2025-03-27 15:45:00,70601,13372
2025-03-27 15:50:00,85231,16876
2025-03-27 15:55:00,70799,13276
2025-03-27 16:00:00,87803,29373
2025-03-27 16:05:00,2638897,2678281
2025-03-27 16:10:00,82035,16908
2025-03-27 16:15:00,69640,14513
2025-03-27 16:20:00,2285723,2235087
2025-03-27 16:25:00,69797,13173
2025-03-27 16:30:00,72704,14706
2025-03-27 16:35:00,72245,14584
2025-03-27 16:40:00,75664,15041
2025-03-27 16:45:00,70949,13283
2025-03-27 16:50:00,72291,13872
2025-03-27 16:55:00,81766,17208
2025-03-27 17:00:00,72347,14309
2025-03-27 17:05:00,72047,15977
2025-03-27 17:10:00,205452,156710
2025-03-27 17:15:00,68865,12032
2025-03-27 17:20:00,71582,12763
2025-03-27 17:25:00,68953,12107
2025-03-27 17:30:00,83911,15828
2025-03-27 17:35:00,68363,12020
2025-03-27 17:40:00,74734,14342
2025-03-27 17:45:00,69121,12087
2025-03-27 17:50:00,71671,12710
2025-03-27 17:55:00,68537,11872
2025-03-27 18:00:00,71811,12372
2025-03-27 18:05:00,80636,15528
2025-03-27 18:10:00,73457,13850
2025-03-27 18:15:00,68592,12058
2025-03-27 18:20:00,71606,12853
2025-03-27 18:25:00,68321,11974
2025-03-27 18:30:00,71432,12914
2025-03-27 18:35:00,68918,12100
2025-03-27 18:40:00,86951,17478
2025-03-27 18:45:00,68799,12144
2025-03-27 18:50:00,71787,12741
2025-03-27 18:55:00,68518,12208
2025-03-27 19:00:00,71663,12848
2025-03-27 19:05:00,68877,12050
2025-03-27 19:10:00,85668,17522
2025-03-27 19:15:00,68852,12003
2025-03-27 19:20:00,71491,13069
2025-03-27 19:25:00,69076,12216
2025-03-27 19:30:00,71330,12695
2025-03-27 19:35:00,68830,12059
2025-03-27 19:40:00,75105,13893
2025-03-27 19:45:00,80770,15494
2025-03-27 19:50:00,71781,13172
2025-03-27 19:55:00,68549,12276
2025-03-27 20:00:00,73166,15373
2025-03-27 20:05:00,69816,12297
2025-03-27 20:10:00,73082,13602
2025-03-27 20:15:00,81037,15615
2025-03-27 20:20:00,71468,12964
2025-03-27 20:25:00,68919,12116
2025-03-27 20:30:00,71259,12650
2025-03-27 20:35:00,68914,12073
2025-03-27 20:40:00,75178,14054
2025-03-27 20:45:00,144185,91812
2025-03-27 20:50:00,299633,255347
2025-03-27 20:55:00,95472,47069
2025-03-27 21:00:00,98100,47140
2025-03-27 21:05:00,95141,46543
2025-03-27 21:10:00,99634,48398
2025-03-27 21:15:00,95118,46741
2025-03-27 21:20:00,97877,47676
2025-03-27 21:25:00,81755,19511
2025-03-27 21:30:00,69224,12733
2025-03-27 21:35:00,66859,12018
2025-03-27 21:40:00,80165,14237
2025-03-27 21:45:00,66638,12378
2025-03-27 21:50:00,69366,12487
2025-03-27 21:55:00,78331,15351
2025-03-27 22:00:00,69108,12703
2025-03-27 22:05:00,66398,12340
2025-03-27 22:10:00,70695,13372
2025-03-27 22:15:00,66734,12338
2025-03-27 22:20:00,68848,13251
2025-03-27 22:25:00,66288,12230
2025-03-27 22:30:00,81475,15924
2025-03-27 22:35:00,66274,12142
2025-03-27 22:40:00,72210,13736
2025-03-27 22:45:00,66504,12213
2025-03-27 22:50:00,69323,12782
2025-03-27 22:55:00,66090,12280
2025-03-27 23:00:00,69519,12434
2025-03-27 23:05:00,78103,15681
2025-03-27 23:10:00,70748,13455
2025-03-27 23:15:00,66446,12363
2025-03-27 23:20:00,69296,13277
2025-03-27 23:25:00,66237,12170
2025-03-27 23:30:00,69082,12442
2025-03-27 23:35:00,66459,11943
2025-03-27 23:40:00,84806,17487
2025-03-27 23:45:00,66550,12257
2025-03-27 23:50:00,69403,12614
2025-03-27 23:55:00,66122,12323
2025-03-28 00:00:00,69221,12485
2025-03-28 00:05:00,66355,12067
2025-03-28 00:10:00,70794,13532
2025-03-28 00:15:00,78984,15606
2025-03-28 00:20:00,69104,13321
2025-03-28 00:25:00,66414,12192
2025-03-28 00:30:00,68826,12704
2025-03-28 00:35:00,66995,12145
2025-03-28 00:40:00,71979,13753
2025-03-28 00:45:00,66823,13527
2025-03-28 00:50:00,81309,15105
2025-03-28 00:55:00,66379,12166
2025-03-28 01:00:00,69253,12548
2025-03-28 01:05:00,66222,12106
2025-03-28 01:10:00,70668,13460
2025-03-28 01:15:00,65969,11835
2025-03-28 01:20:00,73558,16286
2025-03-28 01:25:00,74342,12687
2025-03-28 01:30:00,69381,12832
2025-03-28 01:35:00,66611,12498
2025-03-28 01:40:00,72345,14057
2025-03-28 01:45:00,66645,12203
2025-03-28 01:50:00,69736,12920
2025-03-28 01:55:00,78114,16394
2025-03-28 02:00:00,69336,12445
2025-03-28 02:05:00,66619,12099
2025-03-28 02:10:00,70519,13393
2025-03-28 02:15:00,66566,12155
2025-03-28 02:20:00,69381,13461
2025-03-28 02:25:00,66599,12357
2025-03-28 02:30:00,81185,15597
2025-03-28 02:35:00,66350,12063
2025-03-28 02:40:00,72484,13956
2025-03-28 02:45:00,66497,12169
2025-03-28 02:50:00,69219,13376
2025-03-28 02:55:00,65205,10930
2025-03-28 03:00:00,80389,14520
2025-03-28 03:05:00,65308,11406
2025-03-28 03:10:00,67759,11673
2025-03-28 03:15:00,65135,11086
2025-03-28 03:20:00,68246,11799
2025-03-28 03:25:00,65012,11046
2025-03-28 03:30:00,68469,11620
2025-03-28 03:35:00,77272,14579
